21:19:17 | shadow.grimoire      | INFO    | Grimoire initialized. DB: data/memory/shadow_memory.db
21:19:17 | shadow               | INFO    | Grimoire initialized: online
21:19:17 | shadow               | INFO    | Reaper wired to Grimoire
21:19:17 | shadow.cerberus      | INFO    | Cerberus initialized. Config hash: e59bab82470eef12
21:19:17 | shadow               | INFO    | Module 'cerberus' initialized: online
21:19:21 | shadow.reaper        | INFO    | Reaper initialized. Search backends ready.
21:19:21 | shadow               | INFO    | Module 'reaper' initialized: online
21:19:22 | shadow               | INFO    | Registered module: grimoire
21:19:22 | shadow               | INFO    | Registered module: cerberus
21:19:22 | shadow               | INFO    | Registered module: reaper
21:20:01 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'hello'
21:20:09 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
21:20:09 | shadow.orchestrator  | WARNING | Router classification failed ('' is not a valid BrainType), using fallback
21:20:09 | shadow.orchestrator  | INFO    | Step 2 — Route: type=conversation, module=direct, brain=fast_brain
21:20:12 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 2 items
21:20:12 | shadow.orchestrator  | INFO    | Step 4 — Plan: 1 steps, cerberus=True
21:20:13 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
21:20:13 | shadow.orchestrator  | INFO    | Step 7 — Logged interaction #1 (12672.9ms)
21:20:43 | shadow.orchestrator  | INFO    | Step 1 — Receive: 'what do you know about me'
21:20:46 | httpx                | INFO    | HTTP Request: POST http://localhost:11434/v1/chat/completions "HTTP/1.1 200 OK"
21:20:46 | shadow.orchestrator  | INFO    | Step 2 — Route: type=question, module=grimoire, brain=fast_brain
21:20:48 | shadow.orchestrator  | INFO    | Step 3 — Context loaded: 3 items
21:20:48 | shadow.orchestrator  | INFO    | Step 4 — Plan: 1 steps, cerberus=True
